
                       mean       std    median      5.0%     95.0%     n_eff     r_hat
      Lambda[0,0]      1.00      0.00      1.00      1.00      1.00       nan       nan
   W_tilde[318,2]      1.29      0.89      1.39     -0.22      2.59    689.12      1.00
   W_tilde[318,3]     -3.28      2.17     -2.95     -6.67     -0.09    746.65      1.00
   W_tilde[318,4]      2.69      0.95      2.65      1.23      4.20    539.04      1.00
   W_tilde[319,0]     -9.16      2.90     -9.01    -14.47     -4.93    363.11      1.00
   W_tilde[319,1]    -13.54      5.74    -12.86    -22.52     -4.38    780.37      1.00
   W_tilde[319,2]      7.45      1.91      7.27      4.18     10.26    564.95      1.00
   W_tilde[319,3]     -3.58      2.42     -3.25     -7.37      0.09    811.41      1.00
   W_tilde[319,4]     -1.74      1.94     -1.32     -4.98      0.87    744.80      1.00
   W_tilde[320,0]     -5.57      2.24     -5.53     -9.26     -1.86    277.04      1.00
   W_tilde[320,1]     -4.68      6.68     -3.26    -15.08      4.85    647.42      1.00
   W_tilde[320,2]      4.81      1.30      4.68      2.53      6.72    495.18      1.01
   W_tilde[320,3]      0.08      2.91      0.80     -4.71      4.12    721.83      1.00
   W_tilde[320,4]     -1.85      2.00     -1.61     -5.04      1.34    711.05      1.00
   W_tilde[321,0]      7.57      2.01      7.46      4.42     10.86    792.66      1.00
   W_tilde[321,1]      9.51      2.23      9.33      5.89     13.05    390.48      1.00
   W_tilde[321,2]     -5.51      1.99     -5.32     -9.12     -2.72    654.01      1.00
   W_tilde[321,3]      3.36      1.02      3.28      1.66      4.89    480.68      1.00
   W_tilde[321,4]     -0.66      1.98     -0.28     -3.87      2.25    890.47      1.00
   W_tilde[322,0]     -3.14      1.76     -3.02     -5.84     -0.32    577.57      1.00
   W_tilde[322,1]     21.00      4.33     20.90     13.69     27.37    228.86      1.01
   W_tilde[322,2]      3.48      0.85      3.42      2.19      4.95    379.47      1.00
   W_tilde[322,3]      8.27      1.88      8.11      5.39     11.39    272.20      1.01
   W_tilde[322,4]      6.59      1.87      6.40      3.43      9.40    559.44      1.00
   W_tilde[323,0]     -2.09      1.78     -1.94     -4.76      0.77    651.11      1.01
   W_tilde[323,1]     -7.11      6.00     -6.01    -15.99      1.72    704.68      1.00
   W_tilde[323,2]      1.40      1.11      1.50     -0.26      3.36    771.30      1.01
   W_tilde[323,3]     -2.11      2.70     -1.71     -6.20      1.94    762.73      1.00
   W_tilde[323,4]     -1.97      2.30     -1.72     -5.32      1.72    992.15      1.00
   W_tilde[324,0]     -1.66      1.43     -1.49     -4.19      0.42   1112.05      1.00
   W_tilde[324,1]     -9.30      5.35     -8.46    -17.48     -1.48    712.00      1.00
   W_tilde[324,2]      0.40      1.32      0.49     -1.87      2.36   1134.92      1.00
   W_tilde[324,3]     -4.08      2.38     -3.71     -7.79     -0.19    951.85      1.00
   W_tilde[324,4]     -0.80      2.42     -0.15     -4.31      2.59    595.15      1.00
   W_tilde[325,0]     -2.24      1.36     -2.08     -4.35      0.02   1282.33      1.00
   W_tilde[325,1]     -2.45      7.08      0.40    -12.91      6.07    379.72      1.00
   W_tilde[325,2]      1.06      1.06      1.10     -0.56      2.77    609.94      1.00
   W_tilde[325,3]     -0.64      2.91      0.31     -4.88      3.02    415.69      1.00
   W_tilde[325,4]     -0.66      1.96     -0.26     -3.84      2.16    568.08      1.00
   W_tilde[326,0]     -4.47      1.94     -4.40     -7.46     -1.42    588.14      1.00
   W_tilde[326,1]      6.83      1.84      6.70      3.89      9.76    377.00      1.00
   W_tilde[326,2]      4.02      1.05      3.95      2.43      5.81    411.37      1.00
   W_tilde[326,3]      3.92      0.89      3.88      2.54      5.30    165.87      1.00
   W_tilde[326,4]      2.34      1.17      2.36      0.57      4.30    862.04      1.00
   W_tilde[327,0]      4.66      1.49      4.53      2.29      6.98   1114.82      1.01
   W_tilde[327,1]     -6.14      5.23     -5.26    -14.74      1.46    855.34      1.00
   W_tilde[327,2]     -4.00      1.75     -3.96     -7.03     -1.21    869.85      1.00
   W_tilde[327,3]     -2.66      2.68     -2.29     -7.18      1.37   1074.66      1.00
   W_tilde[327,4]     -3.25      2.54     -3.00     -7.29      0.78    906.01      1.00
   W_tilde[328,0]     -1.33      2.07     -1.10     -4.53      2.09    693.57      1.00
   W_tilde[328,1]      2.29      2.40      2.43     -1.74      6.02    725.95      1.00
   W_tilde[328,2]      1.30      1.49      1.38     -1.14      3.77    666.88      1.00
   W_tilde[328,3]      2.84      0.85      2.81      1.50      4.18    603.72      1.01
   W_tilde[328,4]     -2.00      2.03     -1.60     -4.96      0.86    675.76      1.00
   W_tilde[329,0]      5.35      1.42      5.22      3.07      7.59    643.65      1.00
   W_tilde[329,1]      8.34      2.10      8.24      4.71     11.53    620.47      1.00
   W_tilde[329,2]     -4.05      1.65     -3.94     -6.68     -1.41    845.51      1.00
   W_tilde[329,3]      3.32      0.84      3.28      1.89      4.62    623.33      1.00
   W_tilde[329,4]     -1.30      1.34     -1.06     -3.29      0.84    954.30      1.00
   W_tilde[330,0]      4.33      1.52      4.16      1.82      6.59    359.93      1.01
   W_tilde[330,1]     -0.41      4.19      0.88     -6.41      4.47    290.77      1.01
   W_tilde[330,2]     -3.42      1.68     -3.41     -6.20     -0.74    944.44      1.00
   W_tilde[330,3]     -0.47      2.14      0.03     -3.15      2.75    370.48      1.00
   W_tilde[330,4]     -1.55      1.86     -1.09     -4.49      1.07    407.89      1.00
   W_tilde[331,0]     -1.30      1.81     -1.11     -4.27      1.43    779.66      1.00
   W_tilde[331,1]     -7.00      5.94     -5.92    -16.45      1.40    534.95      1.00
   W_tilde[331,2]      0.57      1.36      0.73     -1.60      2.66    900.52      1.00
   W_tilde[331,3]     -1.60      2.72     -1.02     -5.95      2.19    791.30      1.00
   W_tilde[331,4]     -3.31      1.96     -3.00     -6.51     -0.48    907.53      1.00
   W_tilde[332,0]      4.68      1.37      4.58      2.53      6.88    406.11      1.00
   W_tilde[332,1]     -6.28      5.72     -5.65    -16.06      1.55    763.27      1.00
   W_tilde[332,2]     -3.85      1.90     -3.87     -7.23     -0.93    349.59      1.00
   W_tilde[332,3]     -3.14      2.44     -2.79     -6.38      0.77    876.00      1.00
   W_tilde[332,4]     -2.48      2.59     -2.07     -6.72      1.20    595.80      1.00
   W_tilde[333,0]     -4.82      2.05     -4.76     -7.85     -1.15    870.25      1.00
   W_tilde[333,1]     -6.73      5.94     -5.70    -15.82      1.80    635.31      1.01
   W_tilde[333,2]      4.03      1.21      3.97      1.84      5.84    693.64      1.01
   W_tilde[333,3]     -1.53      2.66     -0.94     -5.70      2.20    826.34      1.00
   W_tilde[333,4]     -1.10      1.93     -0.72     -3.96      1.48    672.56      1.00
   W_tilde[334,0]      4.35      1.32      4.22      2.06      6.26    421.95      1.00
   W_tilde[334,1]     16.31      3.53     16.14     10.61     21.76    269.57      1.00
   W_tilde[334,2]     -2.92      1.50     -2.78     -5.26     -0.44    699.22      1.00
   W_tilde[334,3]      6.64      1.65      6.49      3.78      9.14    348.16      1.00
   W_tilde[334,4]      1.17      0.85      1.21     -0.33      2.37    765.39      1.00
   W_tilde[335,0]     -1.98      1.51     -1.78     -4.50      0.15    528.98      1.00
   W_tilde[335,1]     -0.66      5.90      0.59     -9.88      8.02    617.16      1.00
   W_tilde[335,2]      0.62      1.20      0.67     -1.25      2.49    860.57      1.00
   W_tilde[335,3]     -1.05      2.65     -0.52     -5.31      2.74    698.33      1.00
   W_tilde[335,4]      1.88      1.53      1.97     -0.15      4.24    589.00      1.00
   W_tilde[336,0]     -6.98      2.27     -6.96    -10.89     -3.47    431.41      1.00
   W_tilde[336,1]     -7.58      5.54     -6.83    -15.97      1.36    846.06      1.00
   W_tilde[336,2]      5.69      1.29      5.64      3.33      7.63    579.67      1.00
   W_tilde[336,3]     -2.11      2.39     -1.75     -5.79      1.53   1058.66      1.00
   W_tilde[336,4]      0.15      2.02      0.58     -2.80      3.08    810.17      1.00
   W_tilde[337,0]      4.63      1.57      4.45      2.26      7.25    471.33      1.00
   W_tilde[337,1]     -5.73      5.26     -4.94    -13.19      2.75    887.69      1.00
   W_tilde[337,2]     -3.91      1.88     -3.80     -6.79     -0.72    451.40      1.00
   W_tilde[337,3]     -2.92      2.24     -2.59     -6.26      0.52    980.03      1.00
   W_tilde[337,4]     -2.46      2.66     -2.16     -6.51      1.68   1046.28      1.00
   W_tilde[338,0]      1.77      0.91      1.76      0.46      3.36    792.94      1.00
   W_tilde[338,1]     10.88      2.23     10.70      7.20     14.47    399.89      1.00
   W_tilde[338,2]     -1.29      1.20     -1.22     -3.46      0.39    713.25      1.00
   W_tilde[338,3]      2.95      0.96      2.91      1.46      4.45    505.26      1.00
   W_tilde[338,4]      4.14      1.04      4.04      2.44      5.80    551.92      1.00
   W_tilde[339,0]      5.17      1.56      4.99      2.33      7.45    692.13      1.00
   W_tilde[339,1]      4.92      1.94      4.79      1.87      8.08   1701.53      1.00
   W_tilde[339,2]     -3.98      1.79     -3.91     -6.81     -1.12    898.78      1.00
   W_tilde[339,3]     -0.09      1.08      0.00     -1.77      1.77   1756.23      1.00
   W_tilde[339,4]      2.22      1.13      2.19      0.30      3.91    986.00      1.00
   W_tilde[340,0]      3.65      1.06      3.57      1.92      5.26    670.06      1.00
   W_tilde[340,1]      9.89      2.20      9.78      6.41     13.49    333.76      1.00
   W_tilde[340,2]     -2.41      1.50     -2.35     -4.83      0.12    886.74      1.00
   W_tilde[340,3]      5.17      1.07      5.07      3.48      6.84    260.15      1.00
   W_tilde[340,4]     -2.02      1.61     -1.90     -4.78      0.39   1404.20      1.00
   W_tilde[341,0]     -1.61      1.63     -1.52     -3.92      1.24    651.32      1.00
   W_tilde[341,1]     -1.99      4.07     -0.82     -7.87      3.17    636.98      1.00
   W_tilde[341,2]      0.72      1.17      0.79     -0.97      2.72   1273.50      1.00
   W_tilde[341,3]     -1.81      2.07     -1.24     -4.95      0.99    653.21      1.00
   W_tilde[341,4]      2.36      1.23      2.39      0.86      4.29    694.98      1.00
   W_tilde[342,0]     -4.19      1.84     -4.07     -7.16     -1.09    716.44      1.00
   W_tilde[342,1]     -4.23      4.09     -3.45    -10.95      1.80    654.62      1.00
   W_tilde[342,2]      3.20      0.92      3.11      1.61      4.58    608.30      1.00
   W_tilde[342,3]     -2.80      1.96     -2.50     -5.83      0.21    899.87      1.00
   W_tilde[342,4]      3.44      1.09      3.36      1.77      5.23    732.98      1.00
   W_tilde[343,0]     -4.01      2.01     -4.04     -7.25     -0.64    484.39      1.00
   W_tilde[343,1]     -6.33      4.16     -5.43    -12.48     -0.03    948.79      1.00
   W_tilde[343,2]      3.15      0.84      3.11      1.69      4.36    605.48      1.01
   W_tilde[343,3]     -3.62      1.99     -3.27     -6.60     -0.53    893.41      1.00
   W_tilde[343,4]      2.88      1.30      2.82      0.91      4.99   1071.85      1.00
   W_tilde[344,0]      7.84      2.02      7.70      4.17     10.68    384.54      1.01
   W_tilde[344,1]     -0.02      6.27      1.04     -9.03     10.22    652.31      1.00
   W_tilde[344,2]     -6.23      2.14     -6.12     -9.69     -2.63    549.31      1.01
   W_tilde[344,3]     -1.09      2.50     -0.51     -5.11      2.51    699.05      1.00
   W_tilde[344,4]     -1.85      3.01     -1.52     -6.92      2.52    794.62      1.00
   W_tilde[345,0]     -2.99      2.21     -2.96     -6.77      0.53    907.05      1.00
   W_tilde[345,1]     16.01      3.15     15.75     10.68     20.93    304.63      1.00
   W_tilde[345,2]      3.48      1.57      3.48      1.08      6.03    769.06      1.00
   W_tilde[345,3]      7.85      1.42      7.77      5.63     10.21    238.06      1.01
   W_tilde[345,4]      2.24      1.15      2.24      0.38      4.12   1219.91      1.00
   W_tilde[346,0]     -9.67      2.75     -9.61    -13.83     -5.00    555.76      1.00
   W_tilde[346,1]      5.44      2.59      5.26      1.62      9.80   1099.87      1.00
   W_tilde[346,2]      8.53      1.99      8.29      5.57     11.97    435.36      1.00
   W_tilde[346,3]      1.73      1.20      1.76     -0.14      3.77   1229.20      1.00
   W_tilde[346,4]      7.10      1.86      6.98      4.06     10.00    422.23      1.00
   W_tilde[347,0]     -7.88      2.68     -7.67    -12.18     -3.54    755.32      1.00
   W_tilde[347,1]      1.35      3.25      1.87     -2.15      6.07    262.78      1.00
   W_tilde[347,2]      6.86      1.92      6.63      3.70      9.88    796.93      1.00
   W_tilde[347,3]      1.56      1.55      1.75     -0.37      3.67    293.46      1.00
   W_tilde[347,4]      2.86      1.76      2.89      0.24      5.76   1456.12      1.00
   W_tilde[348,0]     -0.63      1.04     -0.40     -2.05      1.09    479.17      1.00
   W_tilde[348,1]     -3.00      4.72     -1.75    -10.50      2.89    517.45      1.00
   W_tilde[348,2]      0.02      1.10      0.09     -1.83      1.83   1059.26      1.00
   W_tilde[348,3]     -1.11      2.29     -0.62     -4.97      2.06    636.19      1.00
   W_tilde[348,4]     -0.53      2.71     -0.01     -4.60      3.49    981.98      1.00
   W_tilde[349,0]     -2.64      1.58     -2.43     -5.21     -0.15    454.37      1.01
   W_tilde[349,1]      5.99      1.67      5.82      3.50      8.86    706.78      1.00
   W_tilde[349,2]      2.22      1.04      2.22      0.50      3.75    776.47      1.00
   W_tilde[349,3]      1.43      0.83      1.48      0.14      2.82    836.70      1.00
   W_tilde[349,4]      4.18      1.33      4.07      2.18      6.31    774.59      1.00
   W_tilde[350,0]     -4.27      1.83     -4.13     -6.99     -1.37    330.90      1.01
   W_tilde[350,1]      8.14      2.11      7.99      4.53     11.30    541.60      1.00
   W_tilde[350,2]      3.62      1.03      3.54      2.02      5.07    363.43      1.01
   W_tilde[350,3]      1.89      1.11      1.93      0.13      3.71    959.59      1.00
   W_tilde[350,4]      6.96      1.74      6.84      4.25      9.88    557.35      1.00
   W_tilde[351,0]     -4.01      1.56     -3.82     -6.57     -1.81    847.30      1.00
   W_tilde[351,1]     -5.98      4.57     -5.09    -12.72      0.27    725.85      1.00
   W_tilde[351,2]      2.82      0.78      2.78      1.44      3.98    968.84      1.00
   W_tilde[351,3]     -3.33      2.17     -2.98     -6.50     -0.07    620.47      1.00
   W_tilde[351,4]      2.56      2.21      2.68     -0.56      6.25   1058.22      1.00
   W_tilde[352,0]     -2.60      1.79     -2.47     -5.55      0.21    957.36      1.00
   W_tilde[352,1]      8.40      2.18      8.23      5.05     11.98    531.95      1.01
   W_tilde[352,2]      2.57      1.02      2.59      1.07      4.30    827.13      1.00
   W_tilde[352,3]      3.36      1.04      3.33      1.65      5.07    802.50      1.01
   W_tilde[352,4]      3.43      0.95      3.35      1.83      4.94    456.25      1.01
   W_tilde[353,0]     -0.02      1.23      0.11     -2.01      1.85    537.12      1.00
   W_tilde[353,1]     -8.86      6.15     -7.82    -18.31      0.16    636.02      1.00
   W_tilde[353,2]     -1.43      1.11     -1.32     -3.10      0.45    908.43      1.00
   W_tilde[353,3]     -3.64      2.71     -3.28     -8.29      0.04    695.46      1.00
   W_tilde[353,4]     -2.29      2.47     -1.82     -6.19      1.23    800.82      1.00
   W_tilde[354,0]      8.17      2.27      8.02      4.25     11.26    576.11      1.00
   W_tilde[354,1]      8.70      2.00      8.57      5.53     12.00    372.31      1.01
